#Antibiotic_class	Aminocoumarin	Aminoglycoside	Beta-lactam	Bicyclomycin	Diaminopyrimidine	Elfamycin	Fluoroquinolone	Fosfomycin	Fusidic acid	Glycopeptide	MLS	Multidrug	Mupirocin	Nucleoside	Peptide	Phenicol	Pleuromutilin	Rifamycin	Sulfonamide	Tetracycline	Triclosan	All
M0dML180529	1277.363627	324.1338832	304.4019614	20.67946342	111.0508386	13.38809422	644.6060637	186.0866741	2.47297682	2028.393249	3527.088403	7279.592968	779.6131755	5.603359037	1512.554381	204.0646419	326.1151326	127.342549	121.3821532	2709.155378	25.15475434	21530.24373
M0dML180622	1019.872547	215.7623887	212.9841754	0.733281073	71.42949538	0.033409027	423.7425078	88.24982899	0.040442506	1551.292475	2319.995672	5302.591254	673.2278612	1.832665199	1124.635261	125.0703548	227.1508953	45.09705063	48.5889983	2168.544173	11.52737241	15632.40211
M0dML180872	940.1238078	248.8843046	256.3175951	1.77200041	115.3004581	0.450537504	381.1927453	107.267811	0.420513093	1804.843679	2567.400327	6369.529682	718.7553298	2.513396013	1337.779369	123.97377	308.8330616	51.12596858	118.7188115	1985.335858	24.92927882	17465.4683
d0_170088_FE	1341.479663	286.2598831	400.2084661	0.861912794	153.4785172	0.494582499	583.4968758	159.4798836	0.136609958	2522.666142	3358.443493	7550.210042	1046.381058	7.004446892	1713.741313	160.8306865	360.1030441	66.49913264	90.44077575	2756.005313	16.66434063	22574.88618
d0_170088_RF	1445.210442	327.5745973	301.6181171	2.135912204	102.1943554	2.1652061	587.5270651	127.4366573	0.631515653	2368.155189	3334.565827	6795.168141	928.9519931	3.911358242	1603.102633	203.514821	284.1683237	76.29149768	55.5315497	2520.791815	12.86250684	21083.50952
d0_171176_FE	1313.883512	324.6387928	362.9204316	1.555594847	158.7039494	1.594492404	599.8682467	154.7093769	0.116700662	2646.283664	3321.015448	7325.71445	916.7690856	7.140738696	1637.639675	170.8774226	345.3879391	61.67147631	69.46820317	2718.047285	11.27523823	22149.28172
d0_171176_RF	1116.400955	243.8434815	248.1975613	2.814987028	126.22415	1.888141261	388.6527253	114.0365977	0.060258817	1813.793597	2596.720989	6384.806555	815.9316891	3.666403132	1312.773232	144.9537421	332.7582462	46.15298475	107.3467562	1961.059621	26.32181687	17788.40449
d0_171851_FE	1243.518207	285.6532478	313.3342479	0.732489191	141.4502692	0.632801525	528.7890281	118.180442	0	2297.244315	3270.479263	6444.453655	892.465557	6.289070312	1605.906881	193.0627456	303.6485884	99.73838294	67.38060059	2484.682636	8.698644038	20306.34107
d0_171851_RF	1049.011589	224.8965401	205.8763843	0.901480803	105.7640848	0.544196676	404.8626653	93.00144564	0.039939933	1726.973104	2406.942105	5136.270568	733.3551395	4.824659631	1214.591578	148.9674777	224.8817418	49.47271879	57.75752544	1707.237252	7.741782885	15503.91398
d0_172048_FE	1345.85429	272.0140405	346.1304507	0.474160021	143.6291664	0.341550552	574.8843823	155.006286	0.086147302	2372.466958	3250.827445	7211.858543	1032.15943	9.323272155	1620.915166	168.5969076	322.6143217	78.21515036	75.78332885	2656.651263	15.72362086	21653.55588
d0_172048_RF	1329.448339	323.4597463	265.0313265	1.813289297	86.25506024	1.115212357	603.9252783	98.51761945	0.291263993	2104.487661	3088.149855	6624.134096	842.225381	4.578030175	1453.795048	180.2122082	226.8576662	76.83572402	50.43723243	2302.430667	8.603543935	19672.60425
d0_172176_FE	1341.168439	282.2991471	367.9819811	0.718112761	150.5048937	1.428908709	550.9545813	162.7285583	0.097317704	2400.885308	3274.98726	7439.463828	1016.718923	6.92335045	1615.513432	170.1782546	409.4516359	49.19124886	86.54112398	2693.909034	17.32388943	22038.96923
d0_172176_RF	1167.014147	208.3673197	229.2121547	6.791192282	100.3183298	6.380411619	491.4419895	101.4919798	0.684985676	1668.864245	2570.745964	5368.126525	705.1398514	1.489083486	1173.072331	173.7779283	227.2993037	82.3909802	51.14758941	1978.147122	12.23696726	16324.1404
d0_172549_FE	1180.594183	249.0655365	327.8084712	1.233046334	149.624915	0.289323513	519.303706	134.6378853	0.18303896	2170.934282	3022.421821	6465.59049	878.8522589	2.422049719	1521.356094	152.2964144	311.9759162	68.35374419	73.70196038	2406.699751	11.73454089	19649.07943
d0_172549_RF	887.7445752	210.7491073	199.8605374	1.467989521	117.3899397	0.733536435	337.5754037	100.5817512	0.020724383	1702.590074	2247.55501	5167.94622	668.3778732	1.975877098	1264.097564	132.6618798	259.7365107	37.09737397	79.56162165	1626.817209	14.52684467	15059.06762
d0_180489_FE	1361.903523	301.1897437	358.362009	0.439329144	141.3730179	0.995078557	571.8713242	166.4921502	0.024278894	2479.362187	3298.056082	7571.107242	1069.374647	5.580117413	1618.175982	165.9308542	370.8756132	42.52960857	83.51072899	2733.630945	18.23307741	22359.01754
d0_180489_RF	1346.187621	279.9326469	292.0368225	1.483807273	106.7808863	0.356654271	532.9088092	131.5651798	0	2426.603485	3182.310097	6811.87395	957.3735274	2.220165565	1654.385372	183.7461365	285.7157822	61.78307214	72.50743365	2391.043908	13.17459654	20733.98995
d0_181384_FE	1349.561759	273.459143	374.7492357	0.672307444	145.0404977	0.738966399	578.3326586	180.7779327	0.49347695	2456.215751	3357.712228	7452.45533	1089.053533	7.559160425	1711.252793	158.1498803	339.1977093	75.17499279	83.40194836	2716.390212	14.75939604	22365.14891
