#Antibiotic_class	Aminocoumarin	Aminoglycoside	Beta-lactam	Bicyclomycin	Diaminopyrimidine	Elfamycin	Fluoroquinolone	Fosfomycin	Fusidic acid	Glycopeptide	MLS	Multidrug	Mupirocin	Nucleoside	Peptide	Phenicol	Pleuromutilin	Rifamycin	Sulfonamide	Tetracycline	Triclosan	All
M0dMF164686	1312.561237	261.8195248	355.3654214	0.634784966	157.7710393	0.887265664	531.7191147	156.7399458	0.023012796	2269.671579	3211.921922	7543.145136	1013.023829	4.193586593	1620.549813	134.2931273	432.6315004	27.32826669	110.6456534	2734.15605	32.14418661	21911.226
M0dMF164855	1313.416503	273.2202567	321.2472429	0.857723713	160.3139209	0.65349473	522.3373425	150.4789732	0.11078163	2234.204155	3009.894671	7230.609386	879.0412373	5.26521205	1498.568552	127.8986063	415.5016884	19.73699236	93.29237835	2664.49171	26.29463501	20947.43546
M0dMF164899	1362.022946	293.074444	334.4079076	0.684861192	153.7264997	0.920650169	566.1263758	164.4349957	0.294560683	2346.182676	3238.528324	7524.109928	980.3703679	5.45260762	1616.562903	137.6471241	418.914889	33.42832626	92.06409326	2808.631658	27.07662975	22104.66277
M0dMF170219	1424.360975	286.333349	377.9262946	0.678430573	177.6940034	0.324724776	571.2283177	157.3013141	0.48285744	2440.212516	3230.150059	8027.878851	1074.259292	3.764995136	1673.516696	130.0423322	490.029	18.94012574	116.417427	2986.170623	30.31571915	23218.0279
M0dMF170327	1272.291273	252.7885422	326.1357164	0.779124993	168.796229	0.409561937	516.7890606	136.2388261	0	2175.677746	2924.035648	7065.810783	896.5573449	2.830803618	1503.632158	129.4096241	430.5210559	28.40153369	110.7778252	2573.301361	29.14251936	20544.32674
M0dMF170652	1316.913127	255.355359	323.4705584	1.353829347	153.5184991	0.549738137	556.1207376	147.9278887	0.275149159	2224.4784	3181.164643	7184.004793	970.0848473	3.665586874	1560.84554	138.8049751	397.1151755	47.33516027	92.17737484	2683.60278	26.10305778	21264.86722
M0dMF171223	1313.953323	299.0670638	327.016491	2.34414185	141.4431136	0.566212073	566.6195072	151.8097357	0.19041789	2313.856335	3252.332384	7333.338808	976.4933415	4.810509264	1646.286525	150.7893505	401.4368742	62.27625935	93.14004206	2736.469744	21.80558028	21796.04576
M0dMF171455	1409.480982	330.3904107	359.0282058	1.173036873	157.7163032	0.495174825	602.6336053	159.464854	0.088237137	2495.887763	3389.413784	7867.41899	984.1215551	5.549151228	1653.657427	160.5643705	427.6617747	33.00705779	91.41000478	2896.002133	24.046463	23049.21128
M0dMF173882	1311.823132	278.2326821	331.9615649	1.104802967	136.3642443	0.916839515	576.6652004	144.3623375	0.037785226	2267.155784	3225.461643	7213.591077	944.7406974	4.039752725	1550.251411	156.4488279	395.1106882	48.49344888	88.58900433	2706.086592	20.52872857	21401.96624
M0dMF180458	1237.380049	247.5798002	330.7365538	1.34772834	151.4884681	0.560271077	509.4471518	144.9700013	0.051957316	2061.029509	3003.373148	6798.494822	940.6864013	4.027477245	1550.731963	138.5329223	385.3637483	42.0696794	99.38263519	2505.083331	25.45930977	20177.79693
M0dMF180529	1387.439397	290.7889239	362.3994702	0.738665357	171.4322499	0.644751803	539.6246402	173.1341542	0.297177046	2404.279424	3229.685799	7948.154282	977.4743312	3.653632357	1616.000525	136.305663	488.3131803	17.22115863	111.8601143	2888.506792	31.44305827	22779.39739
M0dMF180622	1319.101029	294.3664677	335.6447066	0.754959123	146.4099136	0.572656034	554.8352108	151.437156	0.07114902	2313.783098	3195.152327	7284.397581	947.8589986	5.403305327	1591.483906	137.6956828	382.5212778	42.27679419	85.47162035	2715.420438	23.91012638	21528.5684
